title,rank,date,artist,url,region,chart,trend,streams
All I Want for Christmas Is You,179,2017-12-02,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,Norway,top200,MOVE_UP,13170
All I Want for Christmas Is You,121,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Panama,top200,MOVE_UP,1285
All I Want for Christmas Is You,101,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Philippines,top200,MOVE_UP,29142
All I Want for Christmas Is You,2,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Poland,top200,MOVE_UP,45227
All I Want for Christmas Is You,29,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Portugal,top200,MOVE_DOWN,10842
All I Want for Christmas Is You,180,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Canada,top200,MOVE_UP,20110
All I Want for Christmas Is You,65,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Denmark,top200,MOVE_UP,14948
All I Want for Christmas Is You,56,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Singapore,top200,MOVE_UP,9998
All I Want for Christmas Is You,2,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Slovakia,top200,MOVE_UP,4384
All I Want for Christmas Is You,70,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Spain,top200,MOVE_UP,45143
All I Want for Christmas Is You,2,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Sweden,top200,MOVE_UP,226579
All I Want for Christmas Is You,14,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Switzerland,top200,MOVE_UP,18358
All I Want for Christmas Is You,76,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Taiwan,top200,MOVE_UP,5304
All I Want for Christmas Is You,76,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Thailand,top200,MOVE_UP,2242
All I Want for Christmas Is You,165,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Finland,top200,NEW_ENTRY,6501
All I Want for Christmas Is You,1,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United Kingdom,top200,SAME_POSITION,503379
All I Want for Christmas Is You,119,2017-12-02,Michael Bublé,https://open.spotify.com/track/0xPaZrF25ltzvz1a2Pm5DQ,United Kingdom,top200,MOVE_UP,65391
All I Want for Christmas Is You,8,2017-12-02,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,United States,top200,MOVE_UP,909874
All I Want for Christmas Is You,18,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Australia,top200,MOVE_UP,107877
All I Want for Christmas Is You,2,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Austria,top200,MOVE_UP,24410
All I Want for Christmas Is You,4,2017-12-03,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Belgium,top200,MOVE_UP,27939
All I Want for Christmas Is You,51,2017-11-05,Mariah Carey,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Iceland,top200,MOVE_UP,1471
